show_id,genre_id
1,27
2,43
3,24
4,29
5,43
6,72
7,16
8,31
9,14
10,19
11,24
12,24
13,31
14,16
15,14
16,71
17,27
18,24
19,78
20,43
21,24
22,43
23,19
24,16
25,19
26,29
27,19
28,19
29,39
30,78
31,31
32,71
33,14
34,43
35,45
36,31
37,2
38,45
39,2
40,45
41,45
42,2
43,31
44,2
45,2
46,27
47,2
48,43
49,31
50,43
51,43
52,2
53,2
54,2
55,2
56,56
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,16
66,45
67,29
68,45
69,27
70,43
71,43
72,16
73,14
74,31
75,56
76,16
77,9
78,16
79,19
80,19
81,16
82,2
83,24
84,56
85,2
86,9
87,42
88,45
89,27
90,45
91,60
92,27
93,43
94,31
95,16
96,56
97,27
98,45
99,14
100,71
101,45
102,27
103,29
104,31
105,45
106,2
107,45
108,16
109,45
110,24
111,29
112,45
113,31
114,19
115,31
116,31
117,19
118,27
119,31
120,31
121,45
122,43
123,78
124,45
125,45
126,24
127,31
128,16
129,31
130,31
131,16
132,2
133,43
134,2
135,2
136,2
137,31
138,2
139,31
140,18
141,31
142,2
143,31
144,2
145,19
146,19
147,19
148,56
149,75
150,2
151,78
152,2
153,19
154,45
155,9
156,2
157,19
158,60
159,19
160,19
161,71
162,19
163,31
164,19
165,2
166,24
167,18
168,16
169,2
170,2
171,27
172,31
173,19
174,27
175,2
176,31
177,2
178,2
179,2
180,19
181,19
182,29
183,19
184,2
185,56
186,27
187,43
188,43
189,19
190,45
191,31
192,31
193,2
194,43
195,43
196,19
197,19
198,45
199,24
200,19
201,2
202,31
203,19
204,19
205,19
206,19
207,31
208,2
209,31
210,31
211,39
212,39
213,43
214,29
215,2
216,2
217,19
218,19
219,56
220,9
221,45
222,27
223,24
224,24
225,43
226,43
227,43
228,31
229,2
230,39
231,27
232,16
233,56
234,27
235,45
236,27
237,39
238,39
239,39
240,39
241,2
242,72
243,43
244,43
245,31
246,29
247,31
248,2
249,71
250,16
251,31
252,31
253,42
254,31
255,45
256,27
257,31
258,31
259,19
260,19
261,24
262,19
263,27
264,45
265,19
266,9
267,29
268,18
269,31
270,45
271,2
272,72
273,45
274,24
275,71
276,24
277,43
278,43
279,67
280,2
281,56
282,19
283,31
284,27
285,19
286,31
287,45
288,43
289,24
290,43
291,27
292,9
293,19
294,19
295,42
296,2
297,70
298,75
299,19
300,39
301,16
302,2
303,27
304,19
305,27
306,18
307,31
308,39
309,50
310,56
311,24
312,43
313,56
314,43
315,31
316,31
317,43
318,27
319,27
320,43
321,29
322,43
323,43
324,71
325,45
326,16
327,16
328,2
329,2
330,31
331,16
332,9
333,2
334,18
335,31
336,31
337,72
338,19
339,9
340,31
341,2
342,31
343,19
344,31
345,16
346,16
347,2
348,16
349,19
350,31
351,2
352,2
353,19
354,39
355,2
356,31
357,2
358,31
359,78
360,67
361,19
362,72
363,31
364,2
365,45
366,31
367,14
368,27
369,43
370,14
371,70
372,31
373,2
374,2
375,19
376,19
377,9
378,2
379,27
380,56
381,24
382,24
383,72
384,2
385,78
386,24
387,45
388,19
389,68
390,31
391,17
392,43
393,2
394,16
395,31
396,19
397,2
398,43
399,39
400,70
401,9
402,43
403,31
404,29
405,27
406,16
407,16
408,16
409,16
410,16
411,16
412,16
